scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,55.84305,-2.06815,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.799,-121.9227,2017.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-63.415799,-56.673829,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,68.68,12.33,2000.0,,,HumanObservation,
Orcinus orca,-77.401129,169.311279,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,39.474167,-9.301333,2024.0,,,HumanObservation,Events with orcas - AnavNet
Orcinus orca,57.342105,-133.545728,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,62.77,5.85,2000.0,,,HumanObservation,
Orcinus orca,55.83845,-35.91656,2004.0,,,Occurrence,
Orcinus orca,39.575167,-124.001833,2008.0,,,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635"
Orcinus orca,58.5032,-3.105833,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,64.92,-23.67,2024.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
